GameID,Swings,Hits,RequiredHits,FinalAvgErr,FinalRating,SwingDetails
20250410_001406,16,10,10,74.6,Worn,32:[o]|36:[o]|20:[o]|1:[o]|25:[o]|12:[o]|14:[o]|43:[o]|141:[x]|174:[x]|181:[x]|189:[x]|172:[x]|13:[o]|59:[x]
20250410_012629,0,9,9,65.0,Worn,96:[o]|170:[x]|34:[o]|136:[x]|23:[o]|36:[o]|53:[o]|57:[o]|13:[o]|28:[o]
20250410_012737,0,10,10,71.7,Worn,96:[o]|63:[o]|28:[o]|9:[o]|15:[o]|59:[o]|31:[o]|22:[o]|54:[o]|210:[x]|197:[x]
20250410_012832,0,10,10,34.1,Refined,20:[o]|24:[o]|17:[o]|18:[o]|8:[o]|38:[o]|19:[o]|148:[x]|15:[o]|29:[o]
20250425_211755,0,9,9,178.0,Crude,374:[x]|1121:[x]|182:[x]|73:[o]|50:[o]|20:[o]|84:[o]|165:[x]|67:[o]|13:[o]|122:[x]|18:[o]|16:[o]
20250425_211819,0,8,8,63.4,Worn,17:[o]|164:[x]|13:[o]|40:[o]|47:[o]|31:[o]|122:[x]|128:[x]|6:[o]|59:[o]
20250425_212005,0,10,10,118.6,Crude,78:[o]|11:[o]|137:[x]|163:[x]|4:[o]|45:[o]|120:[x]|72:[o]|17:[o]|43:[o]|46:[o]|139:[x]|4:[o]|155:[x]|242:[x]|278:[x]|215:[x]|187:[x]|288:[x]
20250425_212025,0,10,10,35.6,Refined,98:[o]|81:[o]|58:[o]|3:[o]|21:[o]|13:[o]|25:[o]|11:[o]|6:[o]
20250425_212252,0,8,8,96.2,Crude,271:[x]|91:[o]|26:[o]|64:[o]|0:[o]|25:[o]|189:[x]|5:[o]|25:[o]|134:[x]|184:[x]|135:[x]
20250512_171623,0,10,10,83.4,Crude,1:[o]|73:[o]|33:[o]|30:[o]|65:[o]|34:[o]|9:[o]|187:[x]|40:[o]|171:[x]|302:[x]|50:[o]
20250512_171646,0,10,10,49.9,Adequate,15:[o]|46:[o]|33:[o]|43:[o]|43:[o]|0:[o]|62:[o]|132:[x]|37:[o]|100:[x]|33:[o]
20250513_030638,0,8,8,60.8,Worn,66:[o]|28:[o]|86:[o]|14:[o]|45:[o]|67:[o]|11:[o]|165:[x]
20250513_030657,0,8,8,87.6,Crude,82:[o]|88:[o]|144:[x]|62:[o]|16:[o]|21:[o]|13:[o]|112:[x]|118:[x]|126:[x]|221:[x]|43:[o]
20250513_030912,0,9,9,52.4,Adequate,17:[o]|92:[o]|150:[x]|16:[o]|19:[o]|24:[o]|33:[o]|112:[x]|21:[o]|35:[o]
20250513_185207,0,8,8,63.7,Worn,44:[o]|92:[o]|199:[x]|48:[o]|27:[o]|71:[o]|6:[o]|18:[o]
20250513_185246,0,10,10,68.8,Worn,15:[o]|170:[x]|176:[x]|142:[x]|163:[x]|46:[o]|16:[o]|3:[o]|71:[o]|22:[o]|16:[o]|18:[o]|32:[o]
